tourId,title,reason,link,image,price
290181,California CCW Classes,notAllowedActivity,https://www.alloutdooradventures.com/tours/california-ccw-classes,,129.00 USD
298590,Beach Boys California Dreamin',notAllowedActivity,https://www.alloutdooradventures.com/tours/beach-boys-california-dreamin,,129.00 USD
307123,2 Hrs. RENTAL RESERVATION (Jack London Sq.),notAllowedActivity,https://www.alloutdooradventures.com/tours/2-hrs-rental-reservation-jack-london-sq,,129.00 USD
312483,Full Day RENTAL RESERVATION (Jack London Sq.),notAllowedActivity,https://www.alloutdooradventures.com/tours/full-day-rental-reservation-jack-london-sq,,129.00 USD
326675,Weekend Cab and Caboose Ride,notAllowedActivity,https://www.alloutdooradventures.com/tours/weekend-cab-and-caboose-ride,,129.00 USD
360526,The California Grill with Chef Mat,notAllowedActivity,https://www.alloutdooradventures.com/tours/the-california-grill-with-chef-mat,,129.00 USD
362158,Private Horse Riding Lessons,notAllowedActivity,https://www.alloutdooradventures.com/tours/private-horse-riding-lessons,,129.00 USD
362160,Horse Connections,notAllowedActivity,https://www.alloutdooradventures.com/tours/horse-connections,,129.00 USD
362162,Group Horse Riding Lessons,notAllowedActivity,https://www.alloutdooradventures.com/tours/group-horse-riding-lessons,,129.00 USD
362166,Interactive Clinics,notAllowedActivity,https://www.alloutdooradventures.com/tours/interactive-clinics,,129.00 USD
377704,Seasonal California with Chef Mat,notAllowedActivity,https://www.alloutdooradventures.com/tours/seasonal-california-with-chef-mat,,129.00 USD
381165,Public Sunday,notAllowedActivity,https://www.alloutdooradventures.com/tours/public-sunday,,129.00 USD
381218,Cow Hug Therapy,notAllowedActivity,https://www.alloutdooradventures.com/tours/cow-hug-therapy,,129.00 USD
381220,Field Trip,notAllowedActivity,https://www.alloutdooradventures.com/tours/field-trip,,129.00 USD
381449,Gentle Thanksgiving,notAllowedActivity,https://www.alloutdooradventures.com/tours/gentle-thanksgiving,,129.00 USD
382507,Corporate Executive Bus,notAllowedActivity,https://www.alloutdooradventures.com/tours/corporate-executive-bus,,129.00 USD
386964,Semi Private National Park  Day Trip for Central Valley Locals,notAllowedActivity,https://www.alloutdooradventures.com/tours/semi-private-national-park-day-trip-for-central-valley-locals,,129.00 USD
386993,Best of Fresno and Clovis Dinner Add On,notAllowedActivity,https://www.alloutdooradventures.com/tours/best-of-fresno-and-clovis-dinner-add-on,,129.00 USD
388635,15 passengers Open Ocean Coastal,notAllowedActivity,https://www.alloutdooradventures.com/tours/15-passengers-open-ocean-coastal,,129.00 USD
388669,15 Passengers Harbor Cruise Weekend,notAllowedActivity,https://www.alloutdooradventures.com/tours/15-passengers-harbor-cruise-weekend,,129.00 USD
394017,Half Day Jet Ski Rentals • Greater Sacramento,notAllowedActivity,https://www.alloutdooradventures.com/tours/half-day-jet-ski-rentals-greater-sacramento,,129.00 USD
394030,Full Day Jet Ski Rentals • Greater Sacramento,notAllowedActivity,https://www.alloutdooradventures.com/tours/full-day-jet-ski-rentals-greater-sacramento,,129.00 USD
394034,Full Day Jet Ski Rentals • South Lake Tahoe,notAllowedActivity,https://www.alloutdooradventures.com/tours/full-day-jet-ski-rentals-south-lake-tahoe,,129.00 USD
394036,Half Day Jet Ski Rentals • South Lake Tahoe,notAllowedActivity,https://www.alloutdooradventures.com/tours/half-day-jet-ski-rentals-south-lake-tahoe,,129.00 USD
400670,"Four Days in Beautiful San Diego, California",notAllowedActivity,https://www.alloutdooradventures.com/tours/four-days-in-beautiful-san-diego-california,,129.00 USD
408878,California Italian with Chef David,notAllowedActivity,https://www.alloutdooradventures.com/tours/california-italian-with-chef-david,,129.00 USD
412193,Turkey Cuddle Therapy,notAllowedActivity,https://www.alloutdooradventures.com/tours/turkey-cuddle-therapy,,129.00 USD
412195,Equine Therapy,notAllowedActivity,https://www.alloutdooradventures.com/tours/equine-therapy,,129.00 USD
412617,3 Hrs. RENTAL RESEVATION (Jack London Sq.),notAllowedActivity,https://www.alloutdooradventures.com/tours/3-hrs-rental-resevation-jack-london-sq,,129.00 USD
415992,Merit Badge Program,notAllowedActivity,https://www.alloutdooradventures.com/tours/merit-badge-program,,129.00 USD
416495,After School Surf Program,notAllowedActivity,https://www.alloutdooradventures.com/tours/after-school-surf-program,,129.00 USD
424268,Central Coast Day Trip- Monterey Bay,notAllowedActivity,https://www.alloutdooradventures.com/tours/central-coast-day-trip-monterey-bay,,129.00 USD
424269,Old Town Sacramento with River Fox Train,notAllowedActivity,https://www.alloutdooradventures.com/tours/old-town-sacramento-with-river-fox-train,,129.00 USD
